frame,fractal_us,upload_us,draw_readback_us
0,1,0,70195
1,0,0,22706
2,0,0,22567
3,0,0,21509
4,0,0,18984
5,0,0,18707
6,0,0,20084
7,0,0,19128
8,0,0,18705
9,0,0,18154
10,0,0,21553
11,0,0,19564
12,0,0,22654
13,0,0,21497
14,0,0,20703
15,0,0,19801
16,0,0,19259
17,0,0,19826
18,0,0,25715
19,0,0,20413
20,0,0,20866
21,0,0,21496
22,1,0,20860
23,0,0,20426
24,0,0,18651
25,0,0,19514
26,0,0,20809
27,0,0,20810
28,0,0,21664
29,0,0,18682
30,0,0,19535
31,1,0,20809
32,0,0,24467
33,0,0,19747
34,0,0,19457
35,1,0,19996
36,0,0,20456
37,0,0,21686
38,0,0,22106
39,0,0,18667
40,0,0,19182
41,0,0,16602
42,0,0,18937
43,0,0,17647
44,0,0,16609
45,0,0,17640
46,0,0,17924
47,1,0,17511
48,0,0,17880
49,0,0,18073
50,0,0,17242
51,0,0,19170
52,0,0,18885
53,0,0,16532
54,0,0,17498
55,0,0,18082
56,1,0,17827
57,0,0,15559
58,1,0,17603
59,0,0,17590
60,0,0,17678
61,1,0,21527
62,1,0,19380
63,0,0,17830
64,0,0,15878
65,0,0,16592
66,0,0,19826
67,0,0,20459
68,0,0,17453
69,0,0,18721
70,0,0,20068
71,0,0,18217
72,0,0,17006
73,0,0,18282
74,0,0,19748
75,0,0,18687
76,0,0,18795
77,0,0,20434
78,1,0,18717
79,1,0,17644
80,0,0,17577
81,0,0,18734
82,0,0,19926
83,0,0,24326
84,0,0,20847
85,0,0,20434
86,0,0,18714
87,0,0,18899
88,0,0,20424
89,0,0,20183
90,0,0,21047
91,0,0,20423
92,0,0,21061
93,0,0,24342
94,1,0,22530
95,0,0,19534
96,0,0,22684
97,1,0,20539
98,1,0,21686
99,1,0,20846
100,0,0,22607
101,1,0,20416
102,0,0,20918
103,2,0,20397
104,0,0,20433
105,0,0,21704
106,0,0,21069
107,0,0,19115
108,1,0,19806
109,0,0,20310
110,0,0,19986
111,0,0,18519
112,0,0,19975
113,0,0,20404
114,1,0,22573
115,1,0,20428
116,0,0,21072
117,1,0,19572
118,1,0,21502
119,0,0,21698
