frame,fractal_us,upload_us,draw_readback_us
0,0,0,59621
1,1,0,24058
2,0,0,21030
3,0,0,20087
4,0,0,26987
5,0,0,20801
6,0,0,18374
7,0,0,22874
8,0,0,16919
9,0,0,20888
10,0,0,21000
11,0,0,40140
12,1,0,28882
13,0,0,21305
14,0,0,17061
15,0,0,17791
16,0,0,16850
17,0,0,15743
18,0,0,22640
19,0,0,24904
20,0,0,15526
21,0,0,20129
22,0,0,22202
23,0,0,22046
24,0,0,17450
25,0,0,17171
26,0,0,18261
27,0,0,14001
28,0,0,16052
29,0,0,15225
30,0,0,22158
31,0,0,20156
32,0,0,18076
33,0,0,16964
34,0,0,17411
35,0,0,18073
36,0,0,18066
37,0,0,17122
38,0,0,17918
39,0,0,21412
40,0,0,19728
41,0,0,21268
42,0,0,18288
43,0,0,15982
44,0,0,19808
45,0,0,23765
46,0,0,19204
47,0,0,15896
48,0,0,15230
49,1,0,17560
50,0,0,20901
51,0,0,22690
52,0,0,16555
53,0,0,19253
54,0,0,12040
55,0,0,14765
56,0,0,15350
57,0,0,17398
58,0,0,17871
59,0,0,18311
60,0,0,17943
61,0,0,14778
62,0,0,15951
63,1,0,16773
64,0,0,16703
65,0,0,20213
66,0,0,14911
67,0,0,16294
68,0,0,16494
69,0,0,17304
70,0,0,16500
71,0,0,16146
72,0,0,16569
73,0,0,17708
74,0,0,18103
75,0,0,21089
76,0,0,17912
77,0,0,18017
78,0,0,16355
79,0,0,17226
80,0,0,19746
81,0,0,17647
82,1,0,21320
83,0,0,22291
84,0,0,20941
85,0,0,20382
86,0,0,20012
87,0,0,19455
88,0,0,21873
89,0,0,18697
90,1,0,20480
91,0,0,16038
92,0,0,16576
93,0,0,17438
94,0,0,16231
95,0,0,19060
96,0,0,20879
97,0,0,22072
98,0,0,20260
99,0,0,18515
100,0,0,18923
101,0,0,18082
102,0,0,18368
103,0,0,19079
104,0,0,19774
105,0,0,17601
106,0,0,17507
107,1,0,17990
108,0,0,16312
109,0,0,16797
110,0,0,16950
111,0,0,17431
112,0,0,15742
113,0,0,19506
114,0,0,22515
115,1,0,18192
116,0,0,20922
117,1,0,19283
118,0,0,20880
119,0,0,21466
