frame,fractal_us,upload_us,draw_readback_us
0,0,0,77400
1,0,0,22538
2,0,0,21284
3,0,0,28019
4,0,0,20177
5,0,0,21430
6,0,0,21539
7,0,0,22559
8,0,0,18272
9,1,0,25107
10,1,0,19738
11,0,0,24623
12,0,0,22227
13,0,0,22256
14,0,0,20749
15,0,0,21496
16,0,0,21936
17,0,0,20233
18,0,0,20239
19,0,0,20429
20,0,0,19612
21,0,0,21984
22,0,0,20435
23,0,0,20274
24,0,0,21464
25,0,0,25384
26,0,0,23632
27,0,0,28853
28,0,0,20652
29,0,0,25315
30,0,0,19807
31,0,0,19191
32,0,0,20524
33,0,0,21674
34,0,0,18651
35,0,0,19174
36,0,0,34718
37,0,0,27619
38,0,0,18460
39,0,0,19868
40,0,0,24886
41,0,0,19954
42,0,0,19744
43,0,0,28369
44,1,0,17990
45,0,0,21633
46,0,0,35857
47,0,0,20494
48,0,0,22307
49,0,0,22234
50,0,0,20946
51,0,0,22361
52,0,0,22520
53,0,0,22814
54,0,0,21972
55,0,0,21584
56,0,0,22541
57,0,0,21592
58,0,0,26656
59,0,0,21332
60,0,0,26184
61,0,0,18300
62,0,0,16449
63,0,0,24201
64,0,0,21919
65,0,0,23077
66,0,0,22342
67,0,0,22227
68,0,0,20875
69,0,0,19298
70,0,0,15198
71,0,0,18863
72,0,0,14906
73,0,0,19885
74,0,0,15454
75,0,0,14705
76,0,0,15569
77,0,0,18989
78,0,0,20293
79,1,0,21507
80,0,0,19097
81,1,0,23806
82,0,0,22571
83,0,0,19760
84,1,0,26287
85,0,0,21493
86,0,0,26292
87,1,0,21264
88,0,0,21475
89,0,0,24139
90,1,0,20343
91,0,0,23243
92,0,0,18545
93,0,0,18396
94,0,0,19638
95,0,0,23648
96,0,0,23067
97,0,0,23170
98,1,0,20248
99,0,0,23369
100,0,0,21011
101,0,0,22283
102,0,0,24913
103,1,0,25642
104,0,0,21820
105,0,0,20159
106,0,0,19394
107,0,0,20573
108,0,0,19170
109,0,0,19180
110,0,0,22306
111,0,0,22554
112,0,0,21306
113,1,0,23275
114,0,0,21543
115,0,0,21828
116,0,0,23209
117,0,0,19822
118,0,0,22672
119,0,0,23144
