frame,fractal_us,upload_us,draw_readback_us
0,0,0,76492
1,0,0,23763
2,0,0,24256
3,0,0,20611
4,0,0,20471
5,0,0,18043
6,0,0,19687
7,0,0,20848
8,0,0,20324
9,0,0,19982
10,0,0,19534
11,0,0,18632
12,0,0,17306
13,0,0,20302
14,0,0,20211
15,0,0,24566
16,0,0,22979
17,1,0,21775
18,1,0,21096
19,0,0,23636
20,0,0,19760
21,0,0,19798
22,0,0,20548
23,0,0,21510
24,0,0,20278
25,1,0,21953
26,0,0,22440
27,0,0,20500
28,0,0,24869
29,0,0,22745
30,0,0,23561
31,0,0,29226
32,0,0,21417
33,0,0,27513
34,0,0,23688
35,1,0,21925
36,0,0,19988
37,0,0,20436
38,0,0,22625
39,1,0,20316
40,1,0,22309
41,0,0,23185
42,0,0,18082
43,0,0,19338
44,0,0,19879
45,0,0,17972
46,0,0,18385
47,0,0,26133
48,0,0,22275
49,0,0,25077
50,1,0,15487
51,0,0,19314
52,0,0,20315
53,0,0,24773
54,1,0,22445
55,1,0,17780
56,0,0,17507
57,0,0,18914
58,1,0,25282
59,1,0,23268
60,0,0,27221
61,0,0,20224
62,0,0,19123
63,0,0,22786
64,1,0,17858
65,0,0,24951
66,1,0,17471
67,0,0,17290
68,0,0,17579
69,0,0,18818
70,0,0,18872
71,0,0,25766
72,0,0,20264
73,0,0,17755
74,0,0,21014
75,0,0,19348
76,1,0,22174
77,0,0,20001
78,1,0,23133
79,0,0,26452
80,0,0,20969
81,0,0,23683
82,0,0,17976
83,0,0,17974
84,0,0,19880
85,1,0,20723
86,0,0,20791
87,0,0,19250
88,0,0,20092
89,0,0,20297
90,0,0,19671
91,0,0,21498
92,0,0,23550
93,1,0,23356
94,1,0,23311
95,0,0,30123
96,1,0,21414
97,0,0,21472
98,0,0,21480
99,0,0,21379
100,0,0,22993
101,0,0,21099
102,0,0,21995
103,1,0,22789
104,0,0,19790
105,1,0,18914
106,1,0,20367
107,0,0,19878
108,1,0,19513
109,0,0,19113
110,0,0,19047
111,0,0,22083
112,0,0,22355
113,0,0,22297
114,0,0,22033
115,0,0,22737
116,0,0,22101
117,0,0,25395
118,0,0,25404
119,0,0,23109
