frame,fractal_us,upload_us,draw_readback_us
0,0,0,83496
1,0,0,31781
2,0,0,21429
3,1,0,23616
4,2,0,39130
5,0,0,39993
6,0,0,46647
7,0,0,32620
8,0,0,28797
9,0,0,19327
10,0,0,33874
11,0,0,29745
12,0,0,33290
13,0,0,30540
14,0,0,46107
15,0,0,29644
16,0,0,37733
17,0,0,28143
18,0,0,22099
19,0,0,22741
20,0,0,32454
21,0,0,34509
22,0,0,30008
23,0,0,40520
24,0,0,26863
25,0,0,34737
26,0,0,40250
27,0,0,43953
28,0,0,34324
29,0,0,48453
30,0,0,33022
31,0,0,23632
32,1,0,34326
33,0,0,21014
34,0,0,36700
35,0,0,39685
36,1,0,38821
37,0,0,31106
38,0,0,29415
39,1,0,49524
40,0,0,36534
41,1,0,39830
42,0,0,27255
43,0,0,31738
44,1,0,52124
45,1,0,35387
46,0,0,37127
47,0,0,38192
48,0,0,57518
49,0,0,38999
50,0,0,22749
51,0,0,33772
52,0,0,33474
53,0,0,34561
54,0,0,42471
55,0,0,30491
56,0,0,32908
57,0,0,30341
58,0,0,38628
59,1,0,37876
60,0,0,47392
61,0,0,33903
62,1,0,24387
63,1,0,26770
64,0,0,42127
65,0,0,24282
66,0,0,31286
67,0,0,29695
68,1,0,30091
69,0,0,45438
70,0,0,23236
71,0,0,29246
72,1,0,34362
73,0,0,32188
74,1,0,37143
75,1,0,27869
76,1,0,37236
77,1,0,33008
78,1,0,35445
79,0,0,38932
80,1,0,33020
81,0,0,39217
82,0,0,33104
83,1,0,44660
84,1,0,26419
85,1,0,33016
86,1,0,28852
87,0,0,35635
88,0,0,34343
89,1,0,25993
90,0,0,47555
91,1,0,51422
92,0,0,41648
93,1,0,41565
94,1,0,42574
95,0,0,30986
96,1,0,37134
97,0,0,41561
98,1,0,32821
99,0,0,29226
100,0,0,23008
101,0,0,28993
102,0,0,25791
103,0,0,25728
104,1,0,34361
105,0,0,24719
106,1,0,24850
107,0,0,23810
108,0,0,24224
109,0,0,30664
110,0,0,23806
111,1,0,23188
112,0,0,25970
113,1,0,24292
114,2,0,36418
115,1,0,27495
116,1,0,23856
117,1,0,22554
118,0,0,23206
119,0,0,27876
