frame,fractal_us,upload_us,draw_readback_us
0,0,0,65481
1,0,0,20279
2,0,0,19599
3,0,0,19296
4,0,0,21349
5,0,0,30665
6,0,0,19371
7,0,0,17793
8,0,0,19309
9,0,0,19739
10,1,0,20411
11,0,0,19388
12,0,0,18731
13,0,0,20424
14,0,0,18676
15,0,0,18582
16,0,0,19777
17,0,0,21056
18,0,0,20155
19,1,0,15503
20,0,0,17765
21,0,0,18079
22,0,0,17163
23,1,0,17407
24,1,0,16499
25,0,0,15061
26,0,0,21688
27,0,0,15677
28,0,0,15695
29,0,0,16554
30,0,0,14841
31,0,0,14842
32,0,0,16337
33,1,0,14832
34,0,0,15918
35,0,0,15493
36,0,0,14074
37,0,0,15426
38,0,0,14129
39,0,0,14843
40,0,0,13747
41,0,0,13742
42,0,0,13081
43,0,0,13089
44,0,0,13153
45,1,0,13698
46,0,0,13089
47,0,0,14801
48,0,0,13814
49,0,0,13237
50,0,0,12937
51,0,0,13771
52,0,0,14488
53,0,0,13137
54,0,0,14350
55,0,0,13330
56,0,0,14336
57,0,0,14852
58,0,0,13763
59,0,0,14186
60,0,0,14840
61,0,0,14846
62,0,0,13674
63,0,0,13438
64,0,0,13774
65,0,0,13773
66,0,0,14918
67,0,0,14813
68,0,0,14167
69,0,0,14833
70,0,0,12611
71,0,0,14819
72,0,0,13962
73,1,0,13533
74,0,0,13767
75,0,0,14899
76,0,0,15884
77,0,0,13950
78,0,0,14837
79,0,0,13763
80,0,0,13522
81,0,0,14412
82,0,0,15900
83,0,0,14812
84,0,0,14731
85,0,0,15452
86,0,0,15467
87,0,0,15358
88,0,0,17185
89,0,0,14214
90,0,0,14783
91,0,0,15608
92,0,0,15800
93,0,0,14866
94,0,0,14744
95,0,0,14319
96,0,0,15219
97,0,0,14798
98,0,0,14807
99,0,0,16322
100,0,0,15272
101,0,0,14782
102,0,0,15919
103,0,0,13733
104,0,0,16334
105,0,0,14832
106,0,0,15323
107,0,0,14170
108,0,0,14748
109,0,0,16966
110,0,0,15779
111,0,0,16147
112,0,0,15319
113,0,0,14813
114,0,0,15376
115,0,0,17733
116,0,0,17173
117,0,0,16092
118,0,0,17249
119,0,0,16077
