frame,fractal_us,upload_us,draw_readback_us
0,0,0,66719
1,0,0,15817
2,0,0,15796
3,0,0,16274
4,0,0,16036
5,0,0,16073
6,1,0,16550
7,0,0,15718
8,0,0,17379
9,1,0,18669
10,0,0,17642
11,1,0,19016
12,0,0,18204
13,0,0,19258
14,1,0,17949
15,0,0,19253
16,0,0,18811
17,1,0,18422
18,0,0,19693
19,0,0,19329
20,0,0,17591
21,0,0,19752
22,0,0,18246
23,0,0,18217
24,0,0,18562
25,0,0,19862
26,1,0,18256
27,1,0,18820
28,0,0,18671
29,1,0,17624
30,0,0,18685
31,0,0,18925
32,0,0,17102
33,0,0,18215
34,1,0,18598
35,0,0,17792
36,0,0,17531
37,1,0,16621
38,0,0,17579
39,0,0,17651
40,0,0,17632
41,1,0,17990
42,1,0,17173
43,0,0,17700
44,1,0,15925
45,1,0,18780
46,0,0,15198
47,1,0,19416
48,0,0,16114
49,1,0,17351
50,1,0,16071
51,0,0,15921
52,0,0,16410
53,1,0,18798
54,0,0,18059
55,0,0,17181
56,0,0,16932
57,0,0,17627
58,0,0,17663
59,0,0,13679
60,0,0,15916
61,1,0,14285
62,1,0,17415
63,0,0,16127
64,0,0,16339
65,0,0,17429
66,0,0,16076
67,0,0,18458
68,0,0,19346
69,0,0,18035
70,0,0,17263
71,1,0,16407
72,0,0,17979
73,0,0,19356
74,0,0,16979
75,1,0,16531
76,0,0,16531
77,0,0,22539
78,0,0,18655
79,0,0,19260
80,0,0,18284
81,0,0,16455
82,1,0,17003
83,0,0,21027
84,0,0,19364
85,1,0,20150
86,0,0,20410
87,0,0,19092
88,0,0,16524
89,0,0,18233
90,1,0,21462
91,0,0,21412
92,0,0,18652
93,0,0,21031
94,0,0,18588
95,0,0,19909
96,0,0,19778
97,1,0,19147
98,0,0,17191
99,1,0,19344
100,1,0,19122
101,0,0,18232
102,1,0,21325
103,0,0,19802
104,0,0,19298
105,0,0,18653
106,0,0,19758
107,0,0,21011
108,0,0,17442
109,0,0,18601
110,0,0,18695
111,1,0,19664
112,0,0,19793
113,1,0,22102
114,0,0,20804
115,0,0,18691
116,1,0,20643
117,0,0,18659
118,0,0,20803
119,1,0,18677
