frame,fractal_us,upload_us,draw_readback_us
0,1,0,62945
1,0,0,20945
2,0,0,20166
3,0,0,20392
4,0,0,20720
5,0,0,20384
6,0,0,19664
7,0,0,21893
8,0,0,21679
9,0,0,22718
10,0,0,18257
11,0,0,17614
12,0,0,18683
13,0,0,18690
14,0,0,18671
15,0,0,17605
16,0,0,17585
17,0,0,19322
18,0,0,18337
19,0,0,18226
20,0,0,18890
21,0,0,20828
22,0,0,18898
23,0,0,20805
24,0,0,18046
25,0,0,19218
26,1,0,17833
27,0,0,29185
28,0,0,19326
29,1,0,19667
30,0,0,18810
31,0,0,14843
32,0,0,18211
33,0,0,16557
34,0,0,16965
35,0,0,18285
36,0,0,15257
37,0,0,16547
38,0,0,16934
39,0,0,18860
40,0,0,16495
41,0,0,16501
42,0,0,17422
43,0,0,16548
44,0,0,15320
45,0,0,16556
46,0,0,16496
47,0,0,16009
48,0,0,18618
49,0,0,16561
50,0,0,15916
51,0,0,16278
52,0,0,18932
53,0,0,20706
54,0,0,15995
55,0,0,16968
56,1,0,15889
57,0,0,15872
58,0,0,17729
59,0,0,16994
60,0,0,17177
61,1,0,20925
62,0,0,16319
63,0,0,18207
64,0,0,19332
65,0,0,16470
66,0,0,16995
67,0,0,15917
68,0,0,15639
69,0,0,16755
70,0,0,16841
71,0,0,14825
72,0,0,15893
73,0,0,18030
74,0,0,15223
75,0,0,18695
76,0,0,20378
77,0,0,20342
78,0,0,16344
79,0,0,16424
80,0,0,17771
81,0,0,20403
82,0,0,16243
83,1,0,18174
84,0,0,16494
85,0,0,16983
86,0,0,21315
87,0,0,19118
88,0,0,16330
89,0,0,17177
90,0,0,19354
91,1,0,19275
92,1,0,17315
93,1,0,19334
94,0,0,23456
95,0,0,21027
96,0,0,19743
97,0,0,18658
98,0,0,24842
99,0,0,21952
100,0,0,19090
101,0,0,17159
102,0,0,17368
103,0,0,17211
104,0,0,16943
105,0,0,24883
106,0,0,17626
107,0,0,19131
108,0,0,19308
109,1,0,19867
110,1,0,18687
111,0,0,19240
112,0,0,22229
113,0,0,20318
114,1,0,27234
115,0,0,22520
116,1,0,20085
117,0,0,18704
118,0,0,19769
119,0,0,25486
