frame,fractal_us,upload_us,draw_readback_us
0,0,0,68405
1,0,0,20948
2,0,0,19772
3,1,0,19178
4,0,0,19739
5,0,0,24921
6,1,0,25385
7,0,0,19794
8,0,0,18728
9,0,0,19736
10,0,0,20378
11,0,0,20868
12,0,0,19584
13,0,0,18711
14,0,0,18665
15,0,0,18718
16,0,0,20574
17,0,0,20436
18,0,0,20810
19,0,0,21447
20,0,0,21453
21,0,0,19948
22,0,0,19605
23,1,0,20867
24,0,0,19371
25,0,0,20585
26,0,0,21056
27,0,0,20649
28,9,0,20319
29,0,0,18752
30,1,0,19552
31,1,0,16978
32,0,0,17431
33,0,0,16529
34,0,0,18047
35,0,0,18737
36,0,0,18685
37,0,0,16611
38,0,0,16597
39,1,0,14827
40,1,0,15250
41,0,0,16131
42,1,0,15271
43,0,0,15894
44,1,0,16002
45,1,0,15241
46,0,0,17625
47,0,0,15486
48,0,0,17182
49,0,0,17613
50,0,0,24264
51,1,0,16118
52,0,0,16555
53,0,0,17459
54,0,0,18290
55,0,0,18540
56,1,0,17074
57,0,0,18490
58,0,0,18278
59,0,0,19400
60,0,0,16313
61,0,0,16133
62,0,0,16686
63,1,0,14169
64,0,0,15925
65,0,0,13747
66,0,0,15892
67,0,0,16602
68,0,0,15749
69,0,0,16401
70,0,0,16519
71,0,0,14819
72,0,0,16970
73,0,0,16533
74,0,0,19749
75,0,0,13742
76,0,0,15470
77,0,0,14819
78,0,0,15251
79,0,0,14895
80,1,0,16534
81,0,0,14953
82,0,0,14655
83,0,0,15451
84,0,0,14386
85,0,0,15799
86,0,0,15880
87,0,0,16551
88,0,0,15706
89,0,0,15486
90,1,0,15257
91,0,0,16057
92,0,0,16572
93,0,0,16329
94,1,0,17194
95,0,0,16418
96,0,0,17617
97,1,0,18723
98,0,0,16559
99,0,0,18711
100,0,0,18724
101,0,0,16575
102,0,0,18775
103,1,0,18315
104,1,0,17637
105,0,0,17641
106,0,0,17655
107,0,0,20011
108,0,0,17619
109,0,0,16585
110,1,0,17639
111,0,0,15457
112,0,0,14729
113,0,0,17657
114,0,0,15947
115,0,0,14430
116,1,0,19218
117,0,0,17653
118,0,0,16558
119,0,0,16000
