frame,fractal_us,upload_us,draw_readback_us
0,0,0,59017
1,0,0,24380
2,0,0,21556
3,1,0,21524
4,1,0,20434
5,0,0,19769
6,0,0,20410
7,0,0,20854
8,0,0,20413
9,0,0,20072
10,1,0,20398
11,1,0,19397
12,0,0,19779
13,0,0,18099
14,0,0,21058
15,1,0,20872
16,0,0,18701
17,0,0,19359
18,1,0,19783
19,0,0,20507
20,1,0,18638
21,0,0,21647
22,0,0,22428
23,1,0,19791
24,0,0,16712
25,0,0,20676
26,0,0,19370
27,0,0,19960
28,0,0,17579
29,0,0,17395
30,1,0,17124
31,0,0,17682
32,0,0,15703
33,0,0,17263
34,0,0,19855
35,0,0,19645
36,0,0,19394
37,0,0,18717
38,0,0,19822
39,0,0,16526
40,0,0,16790
41,1,0,17479
42,0,0,15370
43,0,0,17196
44,0,0,19369
45,0,0,15678
46,0,0,16989
47,0,0,16524
48,0,0,19787
49,0,0,19364
50,0,0,18902
51,0,0,16770
52,0,0,18747
53,0,0,16535
54,0,0,14406
55,0,0,17826
56,0,0,16977
57,0,0,16473
58,1,0,15451
59,0,0,19968
60,0,0,18537
61,0,0,16590
62,0,0,16763
63,0,0,17030
64,0,0,13413
65,0,0,15460
66,1,0,16136
67,1,0,16571
68,0,0,16597
69,0,0,16514
70,0,0,16447
71,0,0,18730
72,0,0,15968
73,0,0,18180
74,0,0,17019
75,0,0,18479
76,0,0,18780
77,0,0,19377
78,0,0,16795
79,0,0,17645
80,0,0,17651
81,0,0,17527
82,0,0,16992
83,0,0,17477
84,0,0,17412
85,0,0,17512
86,0,0,17656
87,1,0,17640
88,0,0,16554
89,0,0,16990
90,0,0,18709
91,0,0,15416
92,0,0,18716
93,0,0,17669
94,1,0,17415
95,0,0,17000
96,0,0,18695
97,0,0,16565
98,0,0,18553
99,0,0,19356
100,0,0,15914
101,0,0,18056
102,0,0,17209
103,0,0,13137
104,0,0,17695
105,0,0,17717
106,0,0,17516
107,0,0,18759
108,0,0,20026
109,1,0,17609
110,0,0,18138
111,0,0,18245
112,1,0,18166
113,0,0,18654
114,0,0,20855
115,0,0,20420
116,0,0,17876
117,0,0,19339
118,1,0,17641
119,0,0,20930
