frame,fractal_us,upload_us,draw_readback_us
0,0,0,61119
1,0,0,18624
2,0,0,18480
3,0,0,17695
4,0,0,18925
5,0,0,17610
6,0,0,18684
7,1,0,18278
8,1,0,18690
9,1,0,16250
10,0,0,16508
11,0,0,16113
12,0,0,17636
13,0,0,16577
14,1,0,16350
15,0,0,18294
16,0,0,34348
17,0,0,18693
18,0,0,18721
19,0,0,18715
20,0,0,17641
21,0,0,16367
22,0,0,16168
23,0,0,18089
24,0,0,19266
25,1,0,18071
26,1,0,17639
27,0,0,17666
28,0,0,18747
29,0,0,17659
30,0,0,18722
31,1,0,16533
32,0,0,17677
33,0,0,16559
34,0,0,18528
35,0,0,16517
36,0,0,15899
37,1,0,17874
38,0,0,15451
39,0,0,17659
40,1,0,18728
41,0,0,15459
42,0,0,16041
43,0,0,20681
44,1,0,16594
45,0,0,16589
46,0,0,13983
47,0,0,17610
48,0,0,17449
49,0,0,12740
50,0,0,13637
51,0,0,13589
52,0,0,15470
53,1,0,16879
54,0,0,14812
55,1,0,17395
56,0,0,15021
57,0,0,11067
58,0,0,13140
59,0,0,15475
60,0,0,13750
61,0,0,13546
62,1,0,15456
63,0,0,13099
64,0,0,12458
65,0,0,12690
66,0,0,13762
67,1,0,14870
68,0,0,13376
69,0,0,14651
70,0,0,14018
71,0,0,14899
72,1,0,18156
73,0,0,13746
74,0,0,16364
75,1,0,17593
76,0,0,15887
77,0,0,14808
78,0,0,14231
79,0,0,14809
80,0,0,13727
81,0,0,14664
82,0,0,13820
83,0,0,16573
84,0,0,15291
85,0,0,14854
86,0,0,16580
87,0,0,18727
88,0,0,15912
89,2,0,17632
90,0,0,16537
91,0,0,16553
92,0,0,15515
93,0,0,16530
94,0,0,16551
95,0,0,17018
96,1,0,16534
97,0,0,17623
98,1,0,16462
99,0,0,17621
100,0,0,16543
101,0,0,16519
102,1,0,16924
103,0,0,33735
104,1,0,16497
105,0,0,16560
106,0,0,16595
107,0,0,15927
108,0,0,18297
109,0,0,17006
110,1,0,15261
111,1,0,15927
112,0,0,16566
113,0,0,16346
114,0,0,14931
115,0,0,16546
116,0,0,16574
117,0,0,16569
118,0,0,21500
119,1,0,15725
