frame,fractal_us,upload_us,draw_readback_us
0,1,0,56575
1,0,0,17680
2,0,0,18478
3,1,0,15877
4,0,0,15487
5,1,0,16488
6,0,0,14166
7,0,0,17858
8,0,0,15878
9,1,0,15088
10,0,0,16955
11,0,0,14434
12,0,0,16587
13,0,0,15385
14,0,0,14845
15,0,0,15391
16,0,0,16290
17,0,0,17922
18,0,0,15411
19,1,0,16529
20,1,0,17376
21,0,0,16312
22,0,0,15957
23,0,0,16534
24,0,0,17617
25,0,0,16526
26,0,0,16735
27,0,0,16302
28,0,0,16135
29,0,0,15060
30,0,0,16303
31,0,0,15489
32,0,0,15294
33,0,0,15602
34,0,0,13755
35,0,0,15477
36,1,0,17606
37,0,0,14828
38,0,0,17635
39,0,0,15611
40,1,0,16794
41,0,0,14390
42,1,0,13767
43,0,0,14650
44,0,0,13122
45,0,0,13853
46,0,0,23378
47,0,0,16121
48,1,0,16244
49,0,0,14193
50,0,0,13238
51,0,0,16061
52,0,0,15854
53,0,0,15271
54,0,0,15506
55,1,0,15716
56,0,0,14580
57,0,0,12694
58,0,0,13422
59,0,0,13558
60,0,0,13287
61,0,0,12503
62,0,0,13781
63,0,0,13081
64,0,0,13308
65,0,0,14048
66,1,0,14088
67,0,0,13852
68,0,0,13578
69,0,0,15303
70,0,0,13103
71,0,0,12189
72,0,0,10524
73,0,0,11727
74,0,0,13691
75,0,0,17106
76,0,0,15257
77,0,0,13545
78,0,0,12175
79,0,0,14180
80,0,0,13760
81,0,0,12451
82,0,0,12249
83,0,0,14829
84,0,0,15881
85,0,0,15309
86,0,0,13722
87,0,0,17164
88,0,0,15221
89,0,0,17165
90,1,0,18486
91,0,0,14805
92,1,0,15376
93,0,0,14941
94,0,0,14371
95,0,0,14314
96,0,0,14539
97,0,0,14889
98,0,0,15875
99,1,0,15279
100,0,0,14507
101,0,0,14307
102,1,0,16294
103,0,0,19951
104,0,0,16006
105,0,0,15259
106,0,0,15292
107,0,0,13175
108,1,0,14104
109,1,0,14716
110,1,0,14728
111,0,0,15329
112,1,0,17192
113,1,0,17935
114,0,0,15379
115,0,0,17722
116,0,0,24750
117,1,0,16401
118,1,0,15098
119,0,0,15435
