frame,fractal_us,upload_us,draw_readback_us
0,0,0,63845
1,0,0,23551
2,0,0,24716
3,0,0,22355
4,0,0,20979
5,0,0,25335
6,0,0,18202
7,0,0,17886
8,0,0,18630
9,0,0,17406
10,0,0,20530
11,0,0,18010
12,1,0,18595
13,0,0,18435
14,0,0,19506
15,0,0,18843
16,0,0,17338
17,0,0,17539
18,0,0,20749
19,0,0,17555
20,0,0,19035
21,0,0,19489
22,0,0,20071
23,0,0,19612
24,0,0,21415
25,0,0,18879
26,0,0,19827
27,0,0,18566
28,0,0,17950
29,0,0,17497
30,0,0,19781
31,0,0,16132
32,0,0,18015
33,0,0,17970
34,0,0,17032
35,0,0,15605
36,0,0,16574
37,0,0,18097
38,0,0,17503
39,0,0,16766
40,0,0,21592
41,0,0,19877
42,0,0,19526
43,0,0,16780
44,0,0,16851
45,0,0,15218
46,0,0,15380
47,0,0,13828
48,0,0,18597
49,0,0,19100
50,0,0,18334
51,0,0,17706
52,0,0,17576
53,0,0,19019
54,0,0,18137
55,0,0,19166
56,0,0,17158
57,0,0,21391
58,0,0,22774
59,0,0,18607
60,0,0,19714
61,0,0,15792
62,0,0,18926
63,0,0,21389
64,0,0,29518
65,0,0,23976
66,0,0,21971
67,0,0,20452
68,0,0,18359
69,0,0,21550
70,0,0,22635
71,0,0,19770
72,0,0,16392
73,0,0,15474
74,0,0,19391
75,0,0,19174
76,0,0,26673
77,0,0,17988
78,0,0,20183
79,0,0,24390
80,0,0,18827
81,0,0,21861
82,0,0,20399
83,0,0,19234
84,0,0,20130
85,0,0,18592
86,0,0,18410
87,0,0,18203
88,0,0,16884
89,1,0,21750
90,0,0,19357
91,0,0,18523
92,0,0,20442
93,0,0,15099
94,0,0,15159
95,0,0,15897
96,0,0,14537
97,0,0,15183
98,0,0,14785
99,0,0,15151
100,0,0,15304
101,0,0,16001
102,0,0,20815
103,0,0,16950
104,0,0,26021
105,0,0,17169
106,0,0,19934
107,0,0,15658
108,0,0,18366
109,0,0,17867
110,0,0,15200
111,0,0,15156
112,0,0,16917
113,0,0,17314
114,0,0,15135
115,0,0,16907
116,0,0,17515
117,0,0,16851
118,0,0,14967
119,0,0,15822
