frame,fractal_us,upload_us,draw_readback_us
0,0,0,65198
1,0,0,21993
2,0,0,19762
3,0,0,18671
4,0,0,19092
5,0,0,18853
6,0,0,17662
7,0,0,17394
8,0,0,18242
9,0,0,20391
10,1,0,20010
11,0,0,19856
12,0,0,21492
13,0,0,19727
14,0,0,22743
15,0,0,19782
16,0,0,19319
17,0,0,20740
18,0,0,18868
19,1,0,19108
20,0,0,20549
21,0,0,18680
22,0,0,17607
23,0,0,23632
24,1,0,19726
25,0,0,19831
26,0,0,19156
27,0,0,18115
28,0,0,19772
29,1,0,22447
30,0,0,19769
31,0,0,16392
32,1,0,22103
33,1,0,20352
34,1,0,19277
35,0,0,17596
36,0,0,16981
37,0,0,16083
38,0,0,17368
39,0,0,17568
40,1,0,18207
41,0,0,17651
42,0,0,19775
43,0,0,18076
44,0,0,18276
45,0,0,17631
46,0,0,17627
47,0,0,19729
48,1,0,20857
49,0,0,17726
50,0,0,18352
51,0,0,14808
52,1,0,16584
53,1,0,16355
54,1,0,18205
55,0,0,17552
56,1,0,18029
57,0,0,12816
58,0,0,18183
59,0,0,17157
60,0,0,17562
61,0,0,17556
62,1,0,16673
63,1,0,16926
64,0,0,17707
65,1,0,15435
66,0,0,15066
67,1,0,16463
68,0,0,20875
69,0,0,16514
70,0,0,18272
71,0,0,16971
72,0,0,19362
73,1,0,16779
74,0,0,21053
75,1,0,15275
76,0,0,14790
77,1,0,16101
78,0,0,17622
79,0,0,23058
80,1,0,17809
81,0,0,18039
82,0,0,17775
83,0,0,17522
84,0,0,18662
85,0,0,17793
86,1,0,19549
87,1,0,19144
88,0,0,18981
89,0,0,16990
90,1,0,15208
91,0,0,14873
92,0,0,15635
93,1,0,14870
94,0,0,14613
95,0,0,14330
96,0,0,15693
97,0,0,15412
98,0,0,15726
99,0,0,14563
100,0,0,15465
101,0,0,16557
102,0,0,17691
103,0,0,21898
104,0,0,15890
105,0,0,15451
106,1,0,15303
107,1,0,15291
108,0,0,14804
109,0,0,15600
110,0,0,16404
111,1,0,14205
112,0,0,11965
113,0,0,13116
114,0,0,15479
115,0,0,15998
116,0,0,16363
117,1,0,15437
118,1,0,16046
119,0,0,15275
