frame,fractal_us,upload_us,draw_readback_us
0,1,0,68571
1,0,0,17983
2,0,0,16216
3,0,0,16889
4,0,0,25167
5,0,0,19732
6,0,0,21020
7,1,0,24509
8,0,0,20904
9,1,0,16501
10,1,0,16785
11,1,0,15253
12,0,0,16517
13,0,0,16267
14,0,0,15668
15,0,0,16171
16,0,0,16243
17,0,0,17953
18,0,0,16725
19,0,0,16973
20,1,0,21369
21,0,0,17249
22,0,0,17641
23,0,0,17960
24,1,0,16149
25,0,0,18177
26,0,0,15931
27,0,0,18171
28,0,0,19796
29,0,0,20703
30,0,0,15143
31,0,0,17814
32,0,0,15970
33,0,0,17347
34,0,0,17023
35,0,0,22654
36,1,0,17374
37,1,0,24461
38,0,0,18100
39,0,0,18523
40,0,0,17557
41,1,0,15842
42,1,0,15113
43,0,0,17035
44,0,0,16278
45,0,0,16373
46,0,0,16021
47,0,0,25895
48,0,0,19109
49,0,0,18841
50,0,0,22607
51,0,0,22997
52,0,0,21023
53,0,0,22753
54,0,0,25199
55,1,0,22378
56,1,0,18588
57,0,0,18237
58,0,0,18849
59,0,0,18275
60,0,0,17502
61,0,0,22598
62,1,0,20842
63,1,0,22339
64,0,0,23972
65,0,0,19189
66,0,0,18686
67,0,0,17645
68,0,0,16529
69,1,0,15054
70,0,0,16931
71,0,0,15776
72,0,0,18744
73,0,0,18680
74,0,0,15589
75,0,0,19194
76,0,0,18249
77,0,0,21127
78,0,0,19769
79,0,0,16965
80,0,0,18158
81,0,0,25313
82,1,0,23038
83,0,0,22520
84,0,0,23703
85,0,0,22429
86,0,0,20639
87,0,0,21377
88,0,0,21491
89,0,0,21369
90,0,0,19209
91,0,0,21194
92,0,0,21535
93,0,0,19085
94,0,0,20286
95,0,0,21460
96,0,0,20403
97,1,0,20113
98,0,0,21632
99,0,0,22434
100,0,0,22759
101,0,0,21073
102,0,0,20620
103,0,0,19325
104,1,0,19267
105,1,0,18114
106,0,0,18591
107,0,0,20671
108,0,0,18718
109,0,0,21385
110,0,0,23729
111,0,0,20943
112,0,0,18960
113,0,0,19872
114,0,0,21502
115,0,0,21194
116,1,0,19807
117,1,0,21369
118,0,0,21079
119,0,0,20346
