frame,fractal_us,upload_us,draw_readback_us
0,1,0,57070
1,0,0,15308
2,0,0,15796
3,0,0,15141
4,0,0,16374
5,0,0,21781
6,0,0,19412
7,0,0,20150
8,0,0,19587
9,0,0,14757
10,0,0,15740
11,0,0,23384
12,0,0,21959
13,0,0,21128
14,0,0,20295
15,0,0,15737
16,0,0,16645
17,0,0,15812
18,0,0,15611
19,0,0,15333
20,0,0,16402
21,1,0,17059
22,0,0,16416
23,0,0,18254
24,0,0,22076
25,0,0,17041
26,0,0,16844
27,0,0,16428
28,0,0,16852
29,0,0,14068
30,0,0,13639
31,0,0,14493
32,0,0,15811
33,0,0,14527
34,0,0,14258
35,0,0,14073
36,0,0,12500
37,0,0,12658
38,0,0,11927
39,0,0,12021
40,0,0,13595
41,0,0,12184
42,0,0,11367
43,0,0,11544
44,0,0,14446
45,0,0,14040
46,0,0,15379
47,0,0,14458
48,0,0,13661
49,0,0,13384
50,0,0,13669
51,0,0,11451
52,0,0,12124
53,0,0,12345
54,0,0,11315
55,0,0,11271
56,0,0,11387
57,0,0,12177
58,0,0,14749
59,0,0,12157
60,0,0,15734
61,0,0,14827
62,0,0,14213
63,0,0,13438
64,0,0,15287
65,0,0,11505
66,0,0,13220
67,0,0,13129
68,0,0,13216
69,0,0,13688
70,0,0,14050
71,0,0,12560
72,0,0,12562
73,0,0,12651
74,0,0,12273
75,0,0,12353
76,0,0,12599
77,0,0,13525
78,0,0,14288
79,0,0,14065
80,0,0,12336
81,0,0,15682
82,0,0,13068
83,0,0,12949
84,0,0,18086
85,0,0,16497
86,0,0,20203
87,1,0,20866
88,0,0,15436
89,0,0,20883
90,0,0,18426
91,0,0,17916
92,0,0,19091
93,0,0,20379
94,0,0,15864
95,0,0,16218
96,0,0,13798
97,0,0,15173
98,0,0,15279
99,0,0,13336
100,0,0,14080
101,0,0,15177
102,0,0,13234
103,0,0,13676
104,0,0,13731
105,1,0,14640
106,0,0,14195
107,0,0,14784
108,0,0,14605
109,0,0,16370
110,0,0,17326
111,0,0,16041
112,0,0,15119
113,0,0,16238
114,0,0,14745
115,0,0,15146
116,0,0,14674
117,0,0,15773
118,0,0,15404
119,0,0,15111
