frame,fractal_us,upload_us,draw_readback_us
0,1,0,67057
1,0,0,23678
2,0,0,21718
3,0,0,19578
4,0,0,23992
5,0,0,22773
6,0,0,21361
7,0,0,19710
8,0,0,19228
9,0,0,27497
10,1,0,21991
11,0,0,30622
12,0,0,22641
13,0,0,23090
14,0,0,22594
15,0,0,25074
16,0,0,21952
17,0,0,21641
18,0,0,20765
19,0,0,20253
20,0,0,19307
21,0,0,21170
22,0,0,20489
23,0,0,19707
24,0,0,20967
25,0,0,23545
26,0,0,23037
27,0,0,23427
28,0,0,20692
29,0,0,21254
30,0,0,19977
31,0,0,20911
32,0,0,18374
33,0,0,20281
34,0,0,21945
35,0,0,21904
36,0,0,21851
37,0,0,24096
38,0,0,20620
39,0,0,19670
40,0,0,18703
41,0,0,17597
42,0,0,19941
43,0,0,20021
44,0,0,27530
45,0,0,24135
46,0,0,17635
47,0,0,20852
48,0,0,22583
49,0,0,22690
50,0,0,24949
51,0,0,23385
52,0,0,18724
53,0,0,16968
54,0,0,19772
55,0,0,25274
56,0,0,23199
57,0,0,21590
58,0,0,23972
59,0,0,22607
60,0,0,20005
61,0,0,23202
62,0,0,19370
63,0,0,18212
64,0,0,23755
65,0,0,18613
66,0,0,22648
67,0,0,21176
68,0,0,21086
69,0,0,21509
70,0,0,20404
71,0,0,25363
72,0,0,22776
73,0,0,22790
74,0,0,20541
75,0,0,19793
76,0,0,19449
77,0,0,22308
78,0,0,19471
79,1,0,26688
80,1,0,23290
81,0,0,23020
82,0,0,22982
83,0,0,27297
84,1,0,23788
85,0,0,22159
86,0,0,20411
87,0,0,20719
88,0,0,19286
89,0,0,21393
90,0,0,19113
91,0,0,24306
92,0,0,26344
93,0,0,22528
94,0,0,20748
95,0,0,22919
96,0,0,20723
97,0,0,21526
98,0,0,18067
99,1,0,23537
100,0,0,20825
101,0,0,20329
102,0,0,18725
103,0,0,19049
104,0,0,21355
105,0,0,20822
106,0,0,21133
107,0,0,20856
108,0,0,22491
109,0,0,17506
110,0,0,16334
111,0,0,20970
112,0,0,23232
113,0,0,25187
114,0,0,24658
115,0,0,28144
116,0,0,32928
117,0,0,36578
118,0,0,32494
119,0,0,22990
