frame,fractal_us,upload_us,draw_readback_us
0,0,0,76069
1,1,0,21877
2,0,0,26147
3,0,0,20867
4,0,0,20364
5,0,0,20728
6,0,0,25384
7,0,0,21332
8,0,0,21400
9,0,0,21533
10,0,0,18919
11,0,0,21032
12,0,0,18661
13,0,0,21346
14,0,0,21088
15,0,0,25140
16,0,0,22248
17,0,0,22476
18,0,0,24411
19,0,0,19949
20,0,0,21943
21,0,0,22375
22,0,0,24057
23,0,0,20896
24,0,0,19192
25,0,0,24910
26,0,0,20409
27,0,0,21919
28,0,0,24366
29,0,0,25657
30,0,0,22039
31,0,0,19050
32,0,0,17546
33,0,0,19497
34,0,0,16333
35,0,0,22420
36,0,0,19372
37,0,0,18050
38,0,0,17581
39,0,0,18377
40,0,0,17133
41,0,0,19786
42,0,0,15583
43,0,0,19248
44,0,0,17879
45,0,0,19636
46,0,0,19779
47,0,0,18676
48,0,0,20865
49,0,0,21593
50,0,0,23523
51,0,0,22484
52,0,0,19984
53,0,0,24210
54,0,0,25939
55,0,0,19457
56,0,0,22588
57,0,0,21308
58,0,0,23243
59,0,0,23872
60,0,0,30317
61,0,0,21373
62,0,0,18915
63,0,0,20520
64,0,0,23319
65,0,0,24944
66,0,0,22577
67,0,0,19733
68,0,0,19363
69,0,0,19326
70,0,0,18143
71,0,0,17615
72,0,0,22253
73,0,0,20230
74,0,0,13736
75,0,0,20631
76,0,0,20866
77,0,0,20250
78,0,0,19966
79,0,0,20387
80,0,0,21087
81,0,0,18414
82,0,0,27730
83,0,0,19867
84,0,0,20826
85,0,0,22569
86,0,0,22634
87,0,0,22512
88,0,0,22055
89,0,0,19119
90,0,0,21123
91,0,0,19255
92,0,0,21202
93,0,0,19881
94,0,0,25416
95,0,0,22118
96,0,0,19236
97,0,0,18532
98,0,0,18683
99,0,0,24944
100,0,0,18601
101,0,0,21405
102,0,0,26023
103,0,0,19566
104,0,0,20020
105,0,0,21208
106,0,0,18405
107,0,0,22821
108,0,0,24507
109,1,0,18654
110,0,0,19642
111,0,0,19747
112,0,0,24400
113,0,0,23216
114,0,0,23452
115,0,0,22327
116,0,0,21850
117,0,0,20105
118,0,0,19219
119,0,0,20994
