frame,fractal_us,upload_us,draw_readback_us
0,0,0,84220
1,0,0,24529
2,0,0,23192
3,0,0,23145
4,0,0,20777
5,0,0,21056
6,1,0,21265
7,0,0,23209
8,2,0,20894
9,0,0,19151
10,0,0,21345
11,0,0,22737
12,1,0,19310
13,0,0,24869
14,0,0,21664
15,0,0,20588
16,0,0,23800
17,0,0,24680
18,0,0,22574
19,0,0,19741
20,0,0,21453
21,0,0,22757
22,0,0,19301
23,0,0,21015
24,0,0,21911
25,0,0,20563
26,0,0,19324
27,0,0,24252
28,0,0,21026
29,0,0,20180
30,1,0,22550
31,0,0,18913
32,0,0,23592
33,0,0,21709
34,0,0,20402
35,0,0,23823
36,0,0,24925
37,0,0,25359
38,0,0,23366
39,0,0,17843
40,0,0,21065
41,0,0,18706
42,0,0,17874
43,0,0,20386
44,0,0,23931
45,0,0,19635
46,0,0,19336
47,0,0,19994
48,0,0,20609
49,0,0,21865
50,1,0,23400
51,0,0,19976
52,0,0,22616
53,0,0,21681
54,0,0,19847
55,0,0,21482
56,0,0,19934
57,0,0,19358
58,0,0,19921
59,0,0,19310
60,0,0,20273
61,0,0,19549
62,0,0,21694
63,0,0,20398
64,0,0,22777
65,0,0,18680
66,0,0,24064
67,0,0,19115
68,0,0,18911
69,0,0,19969
70,0,0,19775
71,0,0,20593
72,0,0,23624
73,0,0,21683
74,0,0,21481
75,0,0,20379
76,0,0,18889
77,0,0,17607
78,0,0,18745
79,1,0,20042
80,0,0,19082
81,0,0,22625
82,1,0,22095
83,1,0,22528
84,0,0,19436
85,0,0,16507
86,0,0,26980
87,1,0,18854
88,0,0,22309
89,0,0,22733
90,0,0,19330
91,0,0,23110
92,0,0,21013
93,0,0,21872
94,0,0,19938
95,0,0,21452
96,0,0,22731
97,0,0,22784
98,0,0,19794
99,0,0,22507
100,0,0,23660
101,0,0,19864
102,0,0,22735
103,0,0,23152
104,0,0,19955
105,0,0,21659
106,0,0,20665
107,0,0,19303
108,1,0,20797
109,0,0,19306
110,0,0,18009
111,0,0,19754
112,0,0,17836
113,0,0,16896
114,0,0,18488
115,0,0,24515
116,0,0,18659
117,0,0,19369
118,0,0,21010
119,0,0,22533
