frame,fractal_us,upload_us,draw_readback_us
0,0,0,79628
1,0,0,29200
2,0,0,21885
3,1,0,26812
4,1,0,24490
5,0,0,24724
6,0,0,22726
7,1,0,27454
8,0,0,19693
9,0,0,28964
10,0,0,31359
11,0,0,20367
12,0,0,18682
13,0,0,27895
14,0,0,23834
15,0,0,23580
16,0,0,22681
17,1,0,21655
18,0,0,20389
19,0,0,23175
20,0,0,22544
21,0,0,23603
22,1,0,21685
23,0,0,22548
24,0,0,19751
25,0,0,23853
26,0,0,20398
27,0,0,20999
28,0,0,18703
29,0,0,18715
30,1,0,20405
31,0,0,18631
32,0,0,21000
33,0,0,19344
34,0,0,18705
35,0,0,21042
36,0,0,19493
37,0,0,18645
38,0,0,19926
39,0,0,19931
40,0,0,18744
41,0,0,21509
42,0,0,18718
43,0,0,18360
44,0,0,19932
45,0,0,19800
46,0,0,22136
47,0,0,18225
48,0,0,20416
49,0,0,19998
50,1,0,21709
51,0,0,24909
52,0,0,23200
53,0,0,19996
54,0,0,18710
55,0,0,21510
56,0,0,21014
57,0,0,20421
58,0,0,27082
59,0,0,21624
60,0,0,20424
61,0,0,20004
62,0,0,19758
63,1,0,22145
64,1,0,23103
65,0,0,19971
66,0,0,24476
67,0,0,24477
68,0,0,19780
69,0,0,20476
70,0,0,19779
71,0,0,24909
72,0,0,18260
73,0,0,19967
74,0,0,16056
75,0,0,18421
76,0,0,17813
77,0,0,20618
78,0,0,18681
79,0,0,21539
80,0,0,21021
81,8,0,20384
82,0,0,19960
83,0,0,24052
84,1,0,23175
85,1,0,26800
86,0,0,23365
87,0,0,22957
88,1,0,20445
89,0,0,19314
90,0,0,19956
91,0,0,22526
92,0,0,19864
93,0,0,21022
94,1,0,18067
95,0,0,18872
96,0,0,19928
97,1,0,21659
98,0,0,23211
99,0,0,22100
100,0,0,21447
101,0,0,20392
102,0,0,26822
103,0,0,21035
104,0,0,29448
105,1,0,24427
106,1,0,23591
107,0,0,21054
108,0,0,22304
109,1,0,19967
110,0,0,22526
111,1,0,19872
112,0,0,22688
113,0,0,22572
114,0,0,21661
115,0,0,21890
116,0,0,20386
117,1,0,20610
118,0,0,32955
119,0,0,29141
