frame,fractal_us,upload_us,draw_readback_us
0,0,0,75499
1,0,0,28812
2,1,0,22807
3,0,0,30242
4,0,0,21362
5,1,0,21875
6,1,0,22131
7,0,0,20950
8,0,0,46993
9,1,0,23434
10,0,0,23668
11,0,0,24331
12,1,0,25812
13,0,0,23768
14,1,0,26426
15,0,0,25585
16,1,0,19779
17,0,0,24654
18,0,0,24742
19,0,0,26484
20,1,0,21442
21,0,0,42558
22,1,0,23379
23,0,0,21236
24,0,0,22587
25,1,0,26593
26,0,0,22319
27,0,0,26041
28,1,0,21014
29,0,0,20563
30,0,0,22529
31,0,0,21271
32,0,0,21904
33,0,0,21210
34,0,0,22627
35,0,0,24252
36,0,0,24273
37,0,0,21043
38,0,0,23849
39,0,0,21692
40,0,0,22121
41,0,0,24887
42,0,0,25114
43,1,0,24629
44,0,0,23303
45,1,0,42190
46,0,0,25409
47,1,0,22289
48,1,0,21543
49,0,0,18852
50,0,0,18215
51,0,0,19914
52,0,0,20851
53,0,0,18702
54,0,0,25776
55,0,0,19913
56,0,0,26633
57,1,0,24485
58,0,0,19396
59,0,0,17609
60,0,0,19965
61,0,0,18711
62,0,0,24900
63,0,0,20612
64,0,0,22777
65,0,0,24981
66,1,0,19962
67,0,0,23179
68,0,0,24922
69,0,0,27734
70,0,0,27298
71,0,0,26808
72,1,0,20846
73,0,0,22087
74,0,0,24039
75,0,0,21904
76,1,0,21506
77,0,0,20489
78,0,0,22729
79,0,0,26825
80,0,0,25536
81,1,0,20609
82,0,0,23642
83,1,0,21662
84,0,0,21661
85,0,0,24030
86,0,0,23405
87,0,0,24002
88,1,0,23193
89,0,0,27519
90,0,0,24923
91,0,0,25358
92,0,0,24930
93,0,0,26003
94,1,0,27914
95,0,0,27023
96,0,0,23668
97,1,0,24393
98,0,0,35890
99,1,0,24476
100,0,0,23201
101,0,0,24710
102,0,0,26616
103,0,0,46729
104,1,0,26168
105,0,0,24458
106,0,0,23821
107,0,0,32663
108,0,0,24946
109,0,0,23149
110,1,0,22741
111,1,0,23594
112,0,0,24015
113,1,0,24380
114,0,0,28730
115,0,0,29728
116,0,0,23646
117,1,0,27748
118,1,0,29725
119,1,0,26660
