frame,fractal_us,upload_us,draw_readback_us
0,0,0,67607
1,0,0,21971
2,0,0,18053
3,0,0,18660
4,1,0,19130
5,0,0,19955
6,0,0,24036
7,0,0,19968
8,0,0,18673
9,1,0,20858
10,1,0,20210
11,0,0,18042
12,0,0,18660
13,0,0,19316
14,0,0,18069
15,0,0,21412
16,0,0,19110
17,0,0,18671
18,1,0,27067
19,0,0,18661
20,0,0,19752
21,0,0,19315
22,0,0,19936
23,0,0,18040
24,0,0,19111
25,0,0,19266
26,0,0,19741
27,0,0,17637
28,0,0,19146
29,0,0,17709
30,1,0,18560
31,0,0,19116
32,0,0,21568
33,0,0,17030
34,0,0,21008
35,0,0,16771
36,0,0,17147
37,0,0,19349
38,0,0,21858
39,0,0,18909
40,0,0,19774
41,0,0,21686
42,0,0,16974
43,0,0,17201
44,0,0,17165
45,0,0,17423
46,0,0,18236
47,0,0,22033
48,0,0,25278
49,0,0,19353
50,0,0,17006
51,0,0,18203
52,0,0,15922
53,0,0,20351
54,0,0,16934
55,0,0,16343
56,0,0,18872
57,0,0,17198
58,0,0,18098
59,1,0,18175
60,0,0,17342
61,0,0,18922
62,0,0,17190
63,0,0,15044
64,1,0,16540
65,0,0,16981
66,0,0,15887
67,0,0,15985
68,0,0,16501
69,0,0,16998
70,0,0,18272
71,0,0,22416
72,0,0,17760
73,1,0,14839
74,0,0,18051
75,0,0,17757
76,0,0,18054
77,0,0,18376
78,0,0,15833
79,1,0,18745
80,0,0,17835
81,0,0,18266
82,0,0,17597
83,0,0,16572
84,0,0,17931
85,0,0,16517
86,0,0,20334
87,0,0,20666
88,0,0,24491
89,0,0,18693
90,0,0,18659
91,1,0,16941
92,0,0,17614
93,0,0,22023
94,0,0,22741
95,0,0,19939
96,0,0,21657
97,0,0,19775
98,1,0,19730
99,0,0,21460
100,0,0,19764
101,1,0,19130
102,0,0,18668
103,0,0,19302
104,0,0,18658
105,0,0,22995
106,0,0,17158
107,0,0,20111
108,1,0,20153
109,0,0,18986
110,0,0,18989
111,0,0,22518
112,0,0,18757
113,0,0,21055
114,1,0,21731
115,0,0,17603
116,0,0,20415
117,0,0,21908
118,0,0,20274
119,0,0,19402
