frame,fractal_us,upload_us,draw_readback_us
0,1,0,67876
1,0,0,24323
2,0,0,24016
3,0,0,19956
4,0,0,22981
5,0,0,23796
6,1,0,20381
7,0,0,21871
8,0,0,18892
9,1,0,20389
10,0,0,22532
11,1,0,18809
12,0,0,20385
13,1,0,21666
14,0,0,22750
15,1,0,19744
16,0,0,20600
17,0,0,25760
18,1,0,21037
19,0,0,22540
20,0,0,16678
21,0,0,18161
22,0,0,17803
23,0,0,18898
24,1,0,52154
25,0,0,48599
26,0,0,33364
27,1,0,25838
28,0,0,19877
29,0,0,19763
30,0,0,26830
31,0,0,25973
32,1,0,20380
33,1,0,23852
34,0,0,25536
35,0,0,22750
36,0,0,21483
37,0,0,24897
38,0,0,23844
39,0,0,24477
40,0,0,18476
41,0,0,17762
42,0,0,16996
43,0,0,16577
44,0,0,21620
45,0,0,40129
46,0,0,20304
47,1,0,20724
48,0,0,21045
49,2,0,17605
50,0,0,15293
51,0,0,16651
52,0,0,16983
53,1,0,18332
54,1,0,21056
55,0,0,18282
56,0,0,17696
57,0,0,16677
58,0,0,17036
59,1,0,16341
60,0,0,16539
61,1,0,21106
62,1,0,20823
63,0,0,18274
64,0,0,21006
65,0,0,17568
66,1,0,14764
67,0,0,18262
68,1,0,15930
69,1,0,14680
70,1,0,17861
71,0,0,18389
72,0,0,17173
73,0,0,16965
74,0,0,16544
75,0,0,15888
76,0,0,16961
77,0,0,19260
78,0,0,20833
79,0,0,19904
80,0,0,19232
81,0,0,17635
82,0,0,14383
83,0,0,13103
84,0,0,14231
85,0,0,16114
86,0,0,19761
87,0,0,16516
88,1,0,18815
89,0,0,17599
90,0,0,19730
91,0,0,15875
92,0,0,19381
93,1,0,18153
94,1,0,18940
95,0,0,18655
96,0,0,19995
97,1,0,17642
98,1,0,18423
99,0,0,18879
100,0,0,17360
101,0,0,15887
102,0,0,13577
103,0,0,13879
104,0,0,16510
105,0,0,14392
106,1,0,13749
107,0,0,15457
108,0,0,13742
109,0,0,14004
110,0,0,15267
111,1,0,15414
112,1,0,13972
113,0,0,16950
114,0,0,18224
115,0,0,15957
116,1,0,16276
117,0,0,16530
118,1,0,18215
119,0,0,19738
