pair	arm	attaches	frame_gaps	median_gap_ms	stall_gaps	longest_ms
1	BEFORE	466	465	48	0	0
1	AFTER	536	535	41	0	0
2	BEFORE	467	466	49	0	0
2	AFTER	351	350	57	0	0
3	BEFORE	457	456	50	0	0
3	AFTER	530	529	42	0	0
4	BEFORE	430	429	49	0	0
4	AFTER	473	472	48	0	0
5	BEFORE	351	350	63	0	0
5	AFTER	407	406	52	0	0
6	BEFORE	343	342	62	0	0
6	AFTER	396	395	55	0	0
7	BEFORE	443	442	49	0	0
7	AFTER	535	534	42	0	0
8	BEFORE	451	450	50	0	0
8	AFTER	539	538	41	0	0
