pair	arm	attaches	frame_gaps	median_gap_ms	stall_gaps	longest_ms
1	BEFORE	436	435	50	0	0
1	AFTER	512	511	41	1	467
2	BEFORE	451	450	49	0	0
2	AFTER	422	421	53	0	0
3	BEFORE	371	370	60	0	0
3	AFTER	378	377	53	0	0
4	BEFORE	371	370	61	0	0
4	AFTER	424	423	52	0	0
5	BEFORE	387	386	57	0	0
5	AFTER	543	542	41	0	0
6	BEFORE	445	444	51	0	0
6	AFTER	455	454	49	0	0
