rayland-c: Wayland proxy listening at /tmp/rl-tr-wl.sock; point the app at it with WAYLAND_DISPLAY
rayland-c: listening at /tmp/rl-tr.sock, relaying to S at 127.0.0.1:9473
rayland-c: point Mesa at it with:
  VN_DEBUG=vtest VTEST_SOCKET_NAME=/tmp/rl-tr.sock VK_ICD_FILENAMES=<...>/virtio_icd.x86_64.json <app>
[wp-proxy] proxy listening at /tmp/rl-tr-wl.sock
[wp-proxy] application connected: client InnerClientId { id: 0, serial: 1 }
rayland-c: Mesa connected
rayland-c: watching command ring res_id=1 buffer_size=131072
RLTRACE t_ns=859200592675334 stage=T7 side=C res=2 off=632 len=1
RLTRACE t_ns=859200592905204 stage=T7 side=C res=2 off=636 len=1
RLTRACE t_ns=859200593168896 stage=T7 side=C res=2 off=639 len=1
RLTRACE t_ns=859200593928116 stage=T7 side=C res=2 off=641 len=1
RLTRACE t_ns=859200594423820 stage=T7 side=C res=2 off=644 len=1
RLTRACE t_ns=859200594448008 stage=T7 side=C res=2 off=652 len=6
RLTRACE t_ns=859200594464340 stage=T7 side=C res=2 off=660 len=2
RLTRACE t_ns=859200594476181 stage=T7 side=C res=2 off=665 len=1
RLTRACE t_ns=859200594488638 stage=T7 side=C res=2 off=668 len=1
RLTRACE t_ns=859200594500381 stage=T7 side=C res=2 off=677 len=1
RLTRACE t_ns=859200595052066 stage=T7 side=C res=2 off=681 len=1
RLTRACE t_ns=859200595349009 stage=T7 side=C res=2 off=685 len=1
RLTRACE t_ns=859200595473536 stage=T7 side=C res=2 off=688 len=1
RLTRACE t_ns=859200595490546 stage=T7 side=C res=2 off=692 len=1
RLTRACE t_ns=859200595706543 stage=T7 side=C res=2 off=696 len=1
RLTRACE t_ns=859200595994928 stage=T7 side=C res=2 off=700 len=8
RLTRACE t_ns=859200596199989 stage=T7 side=C res=2 off=710 len=2
RLTRACE t_ns=859200596296160 stage=T7 side=C res=2 off=714 len=3
RLTRACE t_ns=859200596420094 stage=T7 side=C res=2 off=720 len=1
RLTRACE t_ns=859200596433500 stage=T7 side=C res=2 off=729 len=1
RLTRACE t_ns=859200597154491 stage=T7 side=C res=2 off=733 len=1
RLTRACE t_ns=859200597274647 stage=T7 side=C res=2 off=736 len=1
RLTRACE t_ns=859200597470764 stage=T7 side=C res=2 off=747 len=1
RLTRACE t_ns=859200597489572 stage=T7 side=C res=2 off=749 len=4
RLTRACE t_ns=859200597509630 stage=T7 side=C res=2 off=757 len=1
RLTRACE t_ns=859200597526519 stage=T7 side=C res=2 off=764 len=1
