pair	arm	attaches	frame_gaps	median_gap_ms	stall_gaps	longest_ms
1	BEFORE	222	221	106	0	0
1	AFTER	294	293	79	0	0
2	BEFORE	211	210	110	0	0
2	AFTER	285	284	81	0	0
3	BEFORE	208	207	111	0	0
3	AFTER	272	271	82	0	0
4	BEFORE	221	220	104	0	0
4	AFTER	324	323	69	0	0
5	BEFORE	232	231	97	0	0
5	AFTER	292	291	71	0	0
6	BEFORE	155	154	115	0	0
6	AFTER	0
0	0	0	0	0
7	BEFORE	219	218	102	0	0
7	AFTER	322	321	68	0	0
8	BEFORE	230	229	97	0	0
8	AFTER	311	310	71	0	0
